rank,recipe_id,title,suspicion_reasons,suggested_decision,is_new_r401_r610,blocker_or_warning
458,r193_tayskaya_skumbriya_s_batatom_i_pertsami_na_protivne,Тайская скумбрия с бататом и перцами на противне,"ingredient in list not named in steps: 2 (ginger, green_onion)",A. looks okay / no fix (low-priority warning review),no,warning
459,r195_kurinye_bedra_s_krasnoy_kapustoy_i_batatom_na_protivne,Куриные бедра с красной капустой и бататом на противне,"ingredient in list not named in steps: 2 (chicken_thigh, red_cabbage)",A. looks okay / no fix (low-priority warning review),no,warning
460,r198_batat_s_fasolyu_risom_i_avokado,"Батат с фасолью, рисом и авокадо","ingredient in list not named in steps: 2 (bell_pepper, lime_juice)",A. looks okay / no fix (low-priority warning review),no,warning
461,r205_poke_boul_s_krevetkami_risom_i_mango,"Поке-боул с креветками, рисом и манго","ingredient in list not named in steps: 2 (soy_sauce, lime_juice)",A. looks okay / no fix (low-priority warning review),no,warning
462,r254_edamame_s_yaytsom_i_kunzhutom,Зеленый горошек с яйцом и кунжутом,"ingredient in list not named in steps: 2 (soy_sauce, lemon_juice)",A. looks okay / no fix (low-priority warning review),no,warning
463,r305_ovsyano_yablochnye_maffiny_s_yablochnym_pyure,Овсяно-яблочные маффины с яблочным пюре,"ingredient in list not named in steps: 2 (wheat_flour, oats)",A. looks okay / no fix (low-priority warning review),no,warning
464,r307_bananovo_ovsyanye_maffiny_s_korichnevym_maslom,Бананово-овсяные маффины с коричневым маслом,"ingredient in list not named in steps: 2 (wheat_flour, oats)",A. looks okay / no fix (low-priority warning review),no,warning
465,r355_roll_s_indeykoy_romenom_i_klyukvennym_sousom,"Ролл с индейкой, ромэном и клюквенным соусом","ingredient in list not named in steps: 2 (cream_cheese, turkey_or_chicken_breast)",A. looks okay / no fix (low-priority warning review),no,warning
466,r618_salat_iz_fasoli_s_ovoschami,Салат из фасоли с овощами,"ingredient in list not named in steps: 2 (red_beans, lemon_juice)",A. looks okay / no fix (low-priority warning review),no,warning
467,r625_sytnye_ovsyanye_oladi_s_lukom,Сытные овсяные оладьи с луком,"ingredient in list not named in steps: 2 (chicken_broth, wheat_flour)",A. looks okay / no fix (low-priority warning review),no,warning
468,r637_bystryy_sup_s_nutom_i_kuritsey,Быстрый суп с нутом и курицей,"ingredient in list not named in steps: 2 (parsley, dill)",A. looks okay / no fix (low-priority warning review),no,warning
469,r639_salat_s_krevetkami_i_cherri,Салат с креветками и черри,"ingredient in list not named in steps: 2 (lettuce, tomato)",A. looks okay / no fix (low-priority warning review),no,warning
470,r221_kurinaya_pasta_zapekanka_s_maskarpone_i_tomatami,Куриная паста-запеканка с маскарпоне и томатами,"missing approximate/user-friendly measure: 3; e.g. чеснок — 1,5 г",A. looks okay / no fix (low-priority warning review),no,warning
471,r287_krostini_s_vzbitoy_fetoy_i_tomatami,Кростини с взбитой фетой и томатами,missing approximate/user-friendly measure: 3; e.g. фета — 24 г,A. looks okay / no fix (low-priority warning review),no,warning
472,r367_rozmarinovye_orehi_v_slivochnom_masle_s_kayenom,Розмариновые орехи в сливочном масле с кайеном,missing approximate/user-friendly measure: 3; e.g. сырой миндаль — 18 г,A. looks okay / no fix (low-priority warning review),no,warning
473,r020_domashnyaya_granola_s_gretskimi_orehami_i_klyukvoy,Домашняя гранола с грецкими орехами и клюквой,"ingredient in list not named in steps: 1 (almond_butter); missing approximate/user-friendly measure: 1; e.g. кремовая миндальная паста — 6,4 г",A. looks okay / no fix (low-priority warning review),no,warning
474,r038_gollandskiy_blin_iz_duhovki,Голландский блин из духовки,"ingredient in list not named in steps: 1 (wheat_flour); missing approximate/user-friendly measure: 1; e.g. молотый мускатный орех — 0,25 г",A. looks okay / no fix (low-priority warning review),no,warning
475,r045_rolly_s_kopchenym_lososem_slivochnym_syrom_i_tsukini,"Роллы с копченым лососем, сливочным сыром и цукини",ingredient in list not named in steps: 1 (salmon); missing approximate/user-friendly measure: 1; e.g. легкий сливочный сыр — 20 г,A. looks okay / no fix (low-priority warning review),no,warning
476,r054_vanilno_mindalnaya_chia_ovsyanaya_chasha_s_chernikoy,Ванильно-миндальная чиа-овсяная чаша с черникой,"ingredient in list not named in steps: 1 (honey); missing approximate/user-friendly measure: 1; e.g. Миндальные лепестки — 12,5 г",A. looks okay / no fix (low-priority warning review),no,warning
477,r066_zapechennaya_ovsyanka_s_malinoy_kokosom_i_gretskimi_or,"Запеченная овсянка с малиной, кокосом и грецкими орехами",ingredient in list not named in steps: 1 (coconut_flakes); missing approximate/user-friendly measure: 1; e.g. грецкие орехи — 20 г,A. looks okay / no fix (low-priority warning review),no,warning
478,r080_ovoschnaya_mannaya_kasha_s_yaytsom_i_keshyu,Овощная манная каша с яйцом и кешью,ingredient in list not named in steps: 1 (semolina); missing approximate/user-friendly measure: 1; e.g. кешью — 15 г,A. looks okay / no fix (low-priority warning review),no,warning
479,r084_kesadilya_na_zavtrak_s_yaytsami_fasolyu_i_chedderom,"Кесадилья на завтрак с яйцами, фасолью и чеддером",ingredient in list not named in steps: 1 (red_beans); missing approximate/user-friendly measure: 1; e.g. сальса — 30 г,A. looks okay / no fix (low-priority warning review),no,warning
480,r097_yaichnye_kesadili_so_shpinatom_chedderom_i_halapeno,"Яичные кесадильи со шпинатом, чеддером и халапеньо","ingredient in list not named in steps: 1 (flour_tortilla); missing approximate/user-friendly measure: 1; e.g. сальса — 26,7 г сверху",A. looks okay / no fix (low-priority warning review),no,warning
481,r142_tselnozernovaya_pasta_s_tomatnym_sousom_i_morskim_miks,Цельнозерновая паста с томатным соусом и морским миксом,"ingredient in list not named in steps: 1 (tomato_paste); missing approximate/user-friendly measure: 1; e.g. томатная паста — 22,5 г",A. looks okay / no fix (low-priority warning review),no,warning
482,r148_orzo_s_midiyami_cherri_i_chesnochnym_maslom_v_odnoy_sk,"Орзо с мидиями, черри и чесночным маслом в одной сковороде",ingredient in list not named in steps: 1 (tomato_paste); missing approximate/user-friendly measure: 1; e.g. томатная паста — 15 г,A. looks okay / no fix (low-priority warning review),no,warning
483,r149_pasta_s_shafranom_midiyami_grebeshkami_i_krevetkami,"Паста с шафраном, мидиями, гребешками и креветками",ingredient in list not named in steps: 1 (scallops); missing approximate/user-friendly measure: 1; e.g. длинные фузилли или другая паста или другая длинная тонкая паста — 100 г,A. looks okay / no fix (low-priority warning review),no,warning
484,r173_ovoschnaya_lazanya_s_tsukini_shpinatom_i_tvorozhnoy_na,"Овощная лазанья с цукини, шпинатом и творожной начинкой","ingredient in list not named in steps: 1 (pasta_generic); missing approximate/user-friendly measure: 1; e.g. зерненый творог — 56,2 г",A. looks okay / no fix (low-priority warning review),no,warning
485,r196_kartofel_so_shpinatnoy_nachinkoy_v_stile_spanakopity,Картофель со шпинатной начинкой в стиле спанакопиты,"ingredient in list not named in steps: 1 (oregano); missing approximate/user-friendly measure: 1; e.g. облегченный крем-сыр — 9,38 г",A. looks okay / no fix (low-priority warning review),no,warning
486,r203_zernovoy_boul_s_indeykoy_chipotle_i_avokado,Зерновой боул с индейкой чипотле и авокадо,ingredient in list not named in steps: 1 (lime_juice); missing approximate/user-friendly measure: 1; e.g. Паста чипотле — 8 г,A. looks okay / no fix (low-priority warning review),no,warning
487,r233_tako_salat_s_kuritsey_keylom_fasolyu_i_avokado_ranch,"Тако-салат с курицей, кейлом, фасолью и авокадо-ранч",ingredient in list not named in steps: 1 (chicken_breast); missing approximate/user-friendly measure: 1; e.g. чеддер — 9 г,A. looks okay / no fix (low-priority warning review),no,warning
488,r248_barani_kebaby_mergez_s_morkovno_yogurtovym_sousom,Бараньи кебабы мергез с морковно-йогуртовым соусом,"ingredient in list not named in steps: 1 (mint); missing approximate/user-friendly measure: 1; e.g. чеснок — 2,5 г",A. looks okay / no fix (low-priority warning review),no,warning
489,r252_lavash_roll_s_kuritsey_i_ovoschami,Лаваш-ролл с курицей и овощами,ingredient in list not named in steps: 1 (cream_cheese); missing approximate/user-friendly measure: 1; e.g. Творожный сыр — 45 г,A. looks okay / no fix (low-priority warning review),no,warning
490,r268_roll_s_indeykoy_tvorozhnym_syrom_i_ogurtsom,"Ролл с индейкой, творожным сыром и огурцом",ingredient in list not named in steps: 1 (cream_cheese); missing approximate/user-friendly measure: 1; e.g. Творожный сыр — 45 г,A. looks okay / no fix (low-priority warning review),no,warning
491,r272_humus_iz_ovoschey_gril_s_pittoy_i_krudite,Хумус из овощей гриль с питтой и крудите,ingredient in list not named in steps: 1 (celery); missing approximate/user-friendly measure: 1; e.g. чеснок — 1 г,A. looks okay / no fix (low-priority warning review),no,warning
492,r289_tost_s_kuritsey_shampinonami_i_syrom,"Тост с курицей, шампиньонами и сыром",ingredient in list not named in steps: 1 (whole_grain_bread); missing approximate/user-friendly measure: 1; e.g. Сыр гауда — 25 г,A. looks okay / no fix (low-priority warning review),no,warning
493,r310_ovsyanyy_pankeyk_s_yablokom_na_kefire,Овсяный панкейк с яблоком на кефире,ingredient in list not named in steps: 1 (oats); missing approximate/user-friendly measure: 1; e.g. Творог 5% — 80 г,A. looks okay / no fix (low-priority warning review),no,warning
494,r311_smuzi_s_arahisovoy_pastoy_bananom_i_ovsom,"Смузи с арахисовой пастой, бананом и овсом",ingredient in list not named in steps: 1 (peanut_butter); missing approximate/user-friendly measure: 1; e.g. арахисовая паста — 13 г,A. looks okay / no fix (low-priority warning review),no,warning
495,r363_hrustyaschiy_nut_s_yogurtovym_sousom,Хрустящий нут с йогуртовым соусом,ingredient in list not named in steps: 1 (lemon_juice); missing approximate/user-friendly measure: 1; e.g. Арахис — 15 г,A. looks okay / no fix (low-priority warning review),no,warning
496,r368_pryanye_zapechennye_gretskie_orehi_s_klenovym_siropom,Пряные запеченные грецкие орехи с кленовым сиропом,ingredient in list not named in steps: 1 (ginger); missing approximate/user-friendly measure: 1; e.g. половинки грецких орехов — 40 г,A. looks okay / no fix (low-priority warning review),no,warning
497,r369_klassicheskaya_pryanaya_zlakovaya_smes_s_prettselyami_,Классическая пряная злаковая смесь с претцелями и орехами,ingredient in list not named in steps: 1 (mixed_nuts); missing approximate/user-friendly measure: 1; e.g. смешанные орехи — 6 г,A. looks okay / no fix (low-priority warning review),no,warning
498,r390_hrustyaschie_zapechennye_naggetsy_iz_tofu_v_orehovoy_p,Хрустящие запеченные наггетсы из тофу в ореховой панировке,ingredient in list not named in steps: 1 (breadcrumbs); missing approximate/user-friendly measure: 1; e.g. Кешью — 25 г,A. looks okay / no fix (low-priority warning review),no,warning
499,r611_lavash_s_kuritsey_i_nutovoy_pastoy,Лаваш с курицей и нутовой пастой,ingredient in list not named in steps: 1 (lemon_juice); missing approximate/user-friendly measure: 1; e.g. чеснок — 2 г,A. looks okay / no fix (low-priority warning review),no,warning
500,r614_chechevichnyy_pashtet_na_ogurechnyh_kruzhochkah,Чечевичный паштет на огуречных кружочках,ingredient in list not named in steps: 1 (lemon_juice); missing approximate/user-friendly measure: 1; e.g. чеснок — 2 г,A. looks okay / no fix (low-priority warning review),no,warning
501,r634_boul_s_burym_risom_forelyu_i_ogurtsom,"Боул с бурым рисом, форелью и огурцом",ingredient in list not named in steps: 1 (trout); missing approximate/user-friendly measure: 1; e.g. домашний майонез — 12 г,A. looks okay / no fix (low-priority warning review),no,warning
502,r645_syrnye_palochki,Сырные палочки,ingredient in list not named in steps: 1 (breadcrumbs); missing approximate/user-friendly measure: 1; e.g. моцарелла — 80 г,A. looks okay / no fix (low-priority warning review),no,warning
503,r647_kesadilya_s_yablokom_i_chedderom,Кесадилья с яблоком и чеддером,ingredient in list not named in steps: 1 (flour_tortilla); missing approximate/user-friendly measure: 1; e.g. чеддер — 40 г,A. looks okay / no fix (low-priority warning review),no,warning
504,r657_veganskaya_shakshuka_s_tofu,Веганская шакшука с тофу,ingredient in list not named in steps: 1 (pita); missing approximate/user-friendly measure: 1; e.g. чеснок — 3 г,A. looks okay / no fix (low-priority warning review),no,warning
505,r040_belkovaya_yaichnaya_zapekanka_s_gribami_keylom_i_syrom,"Белковая яичная запеканка с грибами, кейлом и сыром",missing approximate/user-friendly measure: 2; e.g. творожный сыр зерненый творог 2% — 20 г,A. looks okay / no fix (low-priority warning review),no,warning
506,r321_tvorozhnyy_desert_v_banke_s_persikom_i_gretskim_orehom,Творожный десерт в банке с персиком и пеканом,missing approximate/user-friendly measure: 2; e.g. низкожирный творог без соли — 120 г,A. looks okay / no fix (low-priority warning review),no,warning
507,r654_kapellini_s_pesto_i_kuritsey,Капеллини с песто и курицей,missing approximate/user-friendly measure: 2; e.g. цельнозерновая паста — 80 г,A. looks okay / no fix (low-priority warning review),no,warning
508,r003_shakshuka,Шакшука,ingredient in list not named in steps: 1 (chili_pepper),A. looks okay / no fix (low-priority warning review),no,warning
509,r006_burrito_na_zavtrak,Буррито на завтрак,ingredient in list not named in steps: 1 (hot_sauce),A. looks okay / no fix (low-priority warning review),no,warning
510,r032_ovsyanye_pankeyki_v_blendere,Овсяные панкейки в блендере,ingredient in list not named in steps: 1 (berries),A. looks okay / no fix (low-priority warning review),no,warning
511,r033_mini_pankeyki_s_koritsey_v_stile_sopapilya,Мини-панкейки с корицей в стиле сопапилья,ingredient in list not named in steps: 1 (wheat_flour),A. looks okay / no fix (low-priority warning review),no,warning
512,r035_klassicheskie_vafli,Классические вафли,ingredient in list not named in steps: 1 (wheat_flour),A. looks okay / no fix (low-priority warning review),no,warning
513,r039_zapechennaya_ovsyanka_s_chernikoy_limonom_i_kardamonom,"Запеченная овсянка с черникой, лимоном и кардамоном",ingredient in list not named in steps: 1 (blueberries),A. looks okay / no fix (low-priority warning review),no,warning
514,r047_angliyskiy_maffin_s_yaytsom_syrom_i_sosisochnoy_kotlet,"Английский маффин с яйцом, сыром и сосисочной котлетой",ingredient in list not named in steps: 1 (sausage),A. looks okay / no fix (low-priority warning review),no,warning
515,r051_tropicheskiy_smuzi_boul_s_mango_i_ananasom,Тропический смузи-боул с манго и ананасом,ingredient in list not named in steps: 1 (mint),A. looks okay / no fix (low-priority warning review),no,warning
516,r055_malinovo_persikovyy_mango_boul_s_grecheskim_yogurtom,Малиново-персиковый манго-боул с греческим йогуртом,ingredient in list not named in steps: 1 (coconut_flakes),A. looks okay / no fix (low-priority warning review),no,warning
517,r058_tropicheskaya_yogurtovaya_chasha_s_greypfrutom_i_manda,Тропическая йогуртовая чаша с грейпфрутом и мандаринами,ingredient in list not named in steps: 1 (orange),A. looks okay / no fix (low-priority warning review),no,warning
518,r060_chia_chasha_s_arahisovoy_pastoy_i_yagodnym_yagodnyy_so,Чиа-чаша с арахисовой пастой и ягодным ягодный соусом,ingredient in list not named in steps: 1 (orange),A. looks okay / no fix (low-priority warning review),no,warning
519,r069_tselnozernovoy_bananovyy_hleb_s_medom,Цельнозерновой банановый хлеб с медом,ingredient in list not named in steps: 1 (wheat_flour),A. looks okay / no fix (low-priority warning review),no,warning
520,r071_kurinyy_kondzhi_s_imbirem_i_zelenym_lukom,Куриный конджи с имбирем и зеленым луком,ingredient in list not named in steps: 1 (ginger),A. looks okay / no fix (low-priority warning review),no,warning
521,r072_klassicheskiy_kedzheri_s_kopchenoy_pikshey_i_yaytsami,Классический кеджери с копченой пикшей и яйцами,ingredient in list not named in steps: 1 (smoked_white_fish),A. looks okay / no fix (low-priority warning review),no,warning
522,r086_menemen_s_tomatami_zelenym_pertsem_i_myagkimi_yaytsami,"Менемен с томатами, зеленым перцем и мягкими яйцами",ingredient in list not named in steps: 1 (oregano),A. looks okay / no fix (low-priority warning review),no,warning
523,r091_belkovaya_ovsyanka_na_noch_s_yagodami_arahisovoy_pasto,"Белковая овсянка на ночь с ягодами, арахисовой пастой и греческим йогуртом",ingredient in list not named in steps: 1 (whey_protein),A. looks okay / no fix (low-priority warning review),no,warning
524,r094_skrembl_s_fetoy_shpinatom_i_tomatami,"Скрэмбл с фетой, шпинатом и томатами",ingredient in list not named in steps: 1 (feta),A. looks okay / no fix (low-priority warning review),no,warning
525,r101_kuritsa_kachchatore_s_orzo,Курица каччаторе с орзо,ingredient in list not named in steps: 1 (chicken_thigh),A. looks okay / no fix (low-priority warning review),no,warning
526,r103_limonnaya_kuritsa_s_kartofelem_i_keylom,Лимонная курица с картофелем и кейлом,ingredient in list not named in steps: 1 (chicken_thigh),A. looks okay / no fix (low-priority warning review),no,warning
527,r106_myasnoy_hleb_iz_indeyki_s_ketchup_glazuryu,Мясной хлеб из индейки с кетчуп-глазурью,ingredient in list not named in steps: 1 (milk),A. looks okay / no fix (low-priority warning review),no,warning
528,r112_govyadina_s_gribami_v_bulone,Говядина с грибами в бульоне,ingredient in list not named in steps: 1 (wheat_flour),A. looks okay / no fix (low-priority warning review),no,warning
529,r120_govyazhiy_burger_s_ostrymi_batatnymi_dolkami,Говяжий бургер с острыми бататными дольками,ingredient in list not named in steps: 1 (burger_bun),A. looks okay / no fix (low-priority warning review),no,warning
530,r122_svinye_otbivnye_s_pasternakom_krasnym_lukom_i_shalfeem,"Свиные отбивные с пастернаком, красным луком и шалфеем",ingredient in list not named in steps: 1 (honey),A. looks okay / no fix (low-priority warning review),no,warning
531,r123_svinina_s_laymom_farro_i_shpinatom,"Свинина с лаймом, фарро и шпинатом",ingredient in list not named in steps: 1 (almond_butter),A. looks okay / no fix (low-priority warning review),no,warning
532,r124_svinye_otbivnye_s_morkovyu_zelenym_goroshkom_i_zhemchu,"Свиные отбивные с морковью, зеленым горошком и жемчужным луком",ingredient in list not named in steps: 1 (wheat_flour),A. looks okay / no fix (low-priority warning review),no,warning
533,r126_glazirovannaya_svinaya_vyrezka_s_kabachkami_pertsem_i_,"Глазированная свиная вырезка с кабачками, перцем и грибами",ingredient in list not named in steps: 1 (pork_tenderloin),A. looks okay / no fix (low-priority warning review),no,warning
534,r128_kopchenoe_ragu_s_vetchinoy_chechevitsey_i_korneplodami,"Копченое рагу с ветчиной, чечевицей и корнеплодами",ingredient in list not named in steps: 1 (whole_grain_bread),A. looks okay / no fix (low-priority warning review),no,warning
535,r130_ovoschnoy_zharenyy_ris_s_bekonom_brokkoli_i_kress_sala,"Овощной жареный рис с беконом, брокколи и кресс-салатом",ingredient in list not named in steps: 1 (ginger),A. looks okay / no fix (low-priority warning review),no,warning
536,r138_treska_v_pergamente_s_miso_apelsinom_bok_choem_i_griba,"Треска в пергаменте с мисо, апельсином, бок-чоем и грибами",ingredient in list not named in steps: 1 (bok_choy),A. looks okay / no fix (low-priority warning review),no,warning
537,r147_limonnoe_rizotto_s_grebeshkami_i_zelenyu,Лимонное ризотто с гребешками и зеленью,ingredient in list not named in steps: 1 (scallops),A. looks okay / no fix (low-priority warning review),no,warning
538,r153_karri_s_baklazhanom_tofu_i_kokosovym_molokom,"Карри с баклажаном, тофу и кокосовым молоком",ingredient in list not named in steps: 1 (ginger),A. looks okay / no fix (low-priority warning review),no,warning
539,r155_shakshuka_s_fetoy_i_zelenyu,Шакшука с фетой и зеленью,ingredient in list not named in steps: 1 (feta),A. looks okay / no fix (low-priority warning review),no,warning
540,r163_boul_s_kinoa_nutom_batatom_i_tahini,"Боул с киноа, нутом, бататом и тахини",ingredient in list not named in steps: 1 (greens),A. looks okay / no fix (low-priority warning review),no,warning
541,r166_boul_s_hrustyaschim_tofu_korichnevym_risom_i_brokkoli,"Боул с хрустящим тофу, коричневым рисом и брокколи",ingredient in list not named in steps: 1 (cornstarch),A. looks okay / no fix (low-priority warning review),no,warning
542,r168_zelenoe_karri_s_chechevitsey_i_risom,Зеленое карри с чечевицей и рисом,ingredient in list not named in steps: 1 (rice),A. looks okay / no fix (low-priority warning review),no,warning
543,r170_veganskaya_dzhambalayya_s_risom_i_beloy_fasolyu,Веганская джамбалайя с рисом и белой фасолью,ingredient in list not named in steps: 1 (red_beans),A. looks okay / no fix (low-priority warning review),no,warning
544,r174_zapechennye_ziti_s_italyanskoy_kolbasoy_i_motsarelloy,Запеченные зити с итальянской колбасой и моцареллой,ingredient in list not named in steps: 1 (italian_sausage),A. looks okay / no fix (low-priority warning review),no,warning
545,r184_tayskiy_zharenyy_ris_s_ananasom_i_keshyu,Тайский жареный рис с ананасом и кешью,ingredient in list not named in steps: 1 (sriracha),A. looks okay / no fix (low-priority warning review),no,warning
546,r189_rizotto_s_batternat_tykvoy_i_rozmarinom,Ризотто с баттернат-тыквой и розмарином,ingredient in list not named in steps: 1 (onion),A. looks okay / no fix (low-priority warning review),no,warning
547,r190_zapechennoe_gribnoe_rizotto_s_parmezanom,Запеченное грибное ризотто с пармезаном,ingredient in list not named in steps: 1 (cream),A. looks okay / no fix (low-priority warning review),no,warning
548,r192_karri_kuritsa_s_molodym_kartofelem_na_protivne,Карри-курица с молодым картофелем на противне,ingredient in list not named in steps: 1 (onion),A. looks okay / no fix (low-priority warning review),no,warning
549,r200_batatnyy_hesh_s_bekonom_yablokami_i_yaytsami,"Бататный хэш с беконом, яблоками и яйцами",ingredient in list not named in steps: 1 (apple),A. looks okay / no fix (low-priority warning review),no,warning
550,r211_govyadina_s_fasolyu_i_risom_na_skovorode,Говядина с фасолью и рисом на сковороде,ingredient in list not named in steps: 1 (red_beans),A. looks okay / no fix (low-priority warning review),no,warning
551,r234_tuntsovyy_nisuaz_s_pechenym_kartofelem_i_yaytsami,Тунцовый нисуаз с печеным картофелем и яйцами,ingredient in list not named in steps: 1 (tuna),A. looks okay / no fix (low-priority warning review),no,warning
552,r244_kuritsa_tikka_masala_s_pertsem,Курица тикка масала с перцем,ingredient in list not named in steps: 1 (tomato_paste),A. looks okay / no fix (low-priority warning review),no,warning
553,r250_roll_s_kuritsey_yaytsom_i_myatnym_yogurtom,"Ролл с курицей, яйцом и мятным йогуртом",ingredient in list not named in steps: 1 (mint),A. looks okay / no fix (low-priority warning review),no,warning
554,r265_pita_s_tuntsom_kukuruzoy_i_yogurtom,"Пита с тунцом, кукурузой и йогуртом",ingredient in list not named in steps: 1 (pita),A. looks okay / no fix (low-priority warning review),no,warning
555,r279_pryanyy_baklazhannyy_dip_s_morkovnymi_palochkami,Пряный баклажанный дип с морковными палочками,ingredient in list not named in steps: 1 (tomato_paste),A. looks okay / no fix (low-priority warning review),no,warning
556,r285_tost_iz_batata_s_tuntsom_avokado_i_nori,"Тост из батата с тунцом, авокадо и нори",ingredient in list not named in steps: 1 (tuna),A. looks okay / no fix (low-priority warning review),no,warning
557,r312_yagodnyy_proteinovyy_smuzi_s_ovsom,Ягодный протеиновый смузи с овсом,ingredient in list not named in steps: 1 (whey_protein),A. looks okay / no fix (low-priority warning review),no,warning
558,r317_yogurtovo_finikovyy_sheyk_s_bananom_i_koritsey,йогуртово-финиковый шейк с бананом и корицей,ingredient in list not named in steps: 1 (almond_milk),A. looks okay / no fix (low-priority warning review),no,warning
559,r338_zapechennye_kukuruznye_chipsy_s_oregano_i_chili,Запеченные кукурузные чипсы с орегано и чили,ingredient in list not named in steps: 1 (oregano),A. looks okay / no fix (low-priority warning review),no,warning
560,r339_hrustyaschiy_nut_s_kunzhutno_lukovoy_pripravoy,Хрустящий нут с кунжутно-луковой приправой,ingredient in list not named in steps: 1 (sesame_seeds),A. looks okay / no fix (low-priority warning review),no,warning
561,r389_lipkie_apelsinovye_kusochki_tofu_s_imbirem_i_kunzhutom,Липкие апельсиновые кусочки тофу с имбирем и кунжутом,ingredient in list not named in steps: 1 (green_onion),A. looks okay / no fix (low-priority warning review),no,warning
562,r617_mini_roll_s_kuritsey_i_kapustoy,Мини-ролл с курицей и капустой,ingredient in list not named in steps: 1 (lemon_juice),A. looks okay / no fix (low-priority warning review),no,warning
563,r619_chechevichnye_oladi_bez_yaytsa,Чечевичные оладьи без яйца,ingredient in list not named in steps: 1 (onion),A. looks okay / no fix (low-priority warning review),no,warning
564,r620_nutovyy_salat_so_svekloy_i_yablokom,Нутовый салат со свеклой и яблоком,ingredient in list not named in steps: 1 (lemon_juice),A. looks okay / no fix (low-priority warning review),no,warning
565,r665_draniki_iz_kapusty_i_kartofelya,Драники из капусты и картофеля,ingredient in list not named in steps: 1 (wheat_flour),A. looks okay / no fix (low-priority warning review),no,warning
566,r011_birher_s_yablokom_i_bananom,Бирхер с яблоком и бананом,"missing approximate/user-friendly measure: 1; e.g. смесь семян — 12,5 г",A. looks okay / no fix (low-priority warning review),no,warning
567,r022_frittata_s_kabachkom_shpinatom_i_rikottoy,"Фриттата с кабачком, шпинатом и рикоттой","missing approximate/user-friendly measure: 1; e.g. рикотта — 31,2 г",A. looks okay / no fix (low-priority warning review),no,warning
568,r042_otkrytyy_beygl_s_lososem_hrenom_i_yaytsom,"Открытый бейгл с лососем, хреном и яйцом",missing approximate/user-friendly measure: 1; e.g. майонез — 15 г,A. looks okay / no fix (low-priority warning review),no,warning
569,r049_ovoschnoy_sendvich_s_yaytsom_syrom_i_rukkoloy,"Овощной сэндвич с яйцом, сыром и рукколой",missing approximate/user-friendly measure: 1; e.g. майонез — 10 г,A. looks okay / no fix (low-priority warning review),no,warning
570,r067_sloenaya_zapekanka_s_vetchinoy_shpinatom_i_gryuyerom,"Слоеная запеканка с ветчиной, шпинатом и грюйером","missing approximate/user-friendly measure: 1; e.g. запеченный красный перец из банки — 15 твердый сыр — 14,2 г",A. looks okay / no fix (low-priority warning review),no,warning
571,r078_yaytsa_s_tomatnoy_salsoy_i_tortiley,Яйца с томатной сальсой и тортильей,missing approximate/user-friendly measure: 1; e.g. чеддер — 20 г,A. looks okay / no fix (low-priority warning review),no,warning
572,r089_yaichnaya_skovoroda_s_lavashom_i_avokado,Яичная сковорода с лавашом и авокадо,missing approximate/user-friendly measure: 1; e.g. чеддер — 20 г,A. looks okay / no fix (low-priority warning review),no,warning
573,r095_pankeyki_iz_tvoroga_i_ovsyanki,Панкейки из творога и овсянки,missing approximate/user-friendly measure: 1; e.g. зерненый творог — 50 г,A. looks okay / no fix (low-priority warning review),no,warning
574,r100_yaichnye_mini_zapekanki_s_tvorogom_shpinatom_vyalenymi,"Яичные мини-запеканки с творогом, шпинатом, вялеными томатами и козьим сыром","missing approximate/user-friendly measure: 1; e.g. зерненый творог — 14,2 г",A. looks okay / no fix (low-priority warning review),no,warning
575,r143_venetsianskoe_rizotto_s_krevetochnym_bulonom,Венецианское ризотто с креветочным бульоном,"missing approximate/user-friendly measure: 1; e.g. сырые крупные креветки в панцире — 112,5 г",A. looks okay / no fix (low-priority warning review),no,warning
576,r214_pryanyy_chechevichnyy_sup_s_tomatami_i_keylom,Пряный чечевичный суп с томатами и кейлом,missing approximate/user-friendly measure: 1; e.g. чеснок — 5 г,A. looks okay / no fix (low-priority warning review),no,warning
577,r236_salat_iz_kinoa_s_nutom_ogurtsom_i_sladkim_pertsem,"Салат из киноа с нутом, огурцом и сладким перцем","missing approximate/user-friendly measure: 1; e.g. чеснок — 2,5 г",A. looks okay / no fix (low-priority warning review),no,warning
578,r238_salat_s_batatom_hrustyaschim_nutom_i_yogurtom,"Салат с бататом, хрустящим нутом и тахини",missing approximate/user-friendly measure: 1; e.g. тахини — 15 г,A. looks okay / no fix (low-priority warning review),no,warning
579,r239_sredizemnomorskiy_salat_s_chechevitsey_olivkami_i_pech,"Средиземноморский салат с чечевицей, оливками и печеным перцем","missing approximate/user-friendly measure: 1; e.g. чеснок — 2,5 г",A. looks okay / no fix (low-priority warning review),no,warning
580,r260_omlet_roll_s_indeykoy_i_shpinatom,Омлет-ролл с индейкой и шпинатом,missing approximate/user-friendly measure: 1; e.g. Сыр гауда — 20 г,A. looks okay / no fix (low-priority warning review),no,warning
581,r276_humus_iz_chernoy_fasoli_s_listyami_aysberga,Хумус из черной фасоли с листьями айсберга,missing approximate/user-friendly measure: 1; e.g. чеснок — 1 г,A. looks okay / no fix (low-priority warning review),no,warning
